time x y z pitch mu rL Rc gyrophase
18.2212 1.00079 16.9082 16.7629 0.407229 1.0104e-31 0.396066 inf 4.96787
18.3469 0.931001 17.0176 16.8844 0.407229 1.01039e-31 0.396066 inf 4.79027
18.4726 0.860791 17.1357 16.997 0.407229 1.0104e-31 0.396066 inf 4.61267
18.5982 0.792372 17.2626 17.1009 0.407229 1.01039e-31 0.396066 inf 4.43508
18.7239 0.727897 17.3978 17.1964 0.407229 1.0104e-31 0.396067 inf 4.25747
18.8496 0.669393 17.5408 17.2842 0.407228 1.01039e-31 0.396065 inf 4.07988
18.9752 0.618702 17.6906 17.3652 0.407229 1.0104e-31 0.396067 inf 3.90228
19.1009 0.577417 17.8462 17.4403 0.407228 1.01039e-31 0.396064 inf 3.72468
19.2265 0.546838 18.0064 17.5109 0.407229 1.01039e-31 0.396066 inf 3.54708
19.3522 0.527927 18.1697 17.5784 0.407229 1.0104e-31 0.396067 inf 3.36948
19.4779 0.521278 18.3346 17.6443 0.40723 1.0104e-31 0.396068 inf 3.19189
19.6035 0.527101 18.4995 17.7101 0.407228 1.01039e-31 0.396065 inf 3.01429
19.7292 0.545213 18.6629 17.7775 0.407229 1.01039e-31 0.396066 inf 2.83669
19.8549 0.575043 18.8234 17.8478 0.407228 1.01039e-31 0.396065 inf 2.65909
19.9805 0.615654 18.9793 17.9226 0.407229 1.0104e-31 0.396068 inf 2.48149
20.1062 0.665767 19.1296 18.0031 0.407229 1.0104e-31 0.396067 inf 2.30389
20.2319 0.723807 19.2731 18.0905 0.407228 1.01039e-31 0.396065 inf 2.12629
20.3575 0.787947 19.4088 18.1855 0.407229 1.0104e-31 0.396067 inf 1.9487
20.4832 0.85617 19.5363 18.2888 0.407229 1.0104e-31 0.396067 inf 1.7711
20.6088 0.92633 19.655 18.4009 0.407229 1.0104e-31 0.396066 inf 1.5935
20.7345 0.996218 19.7649 18.5217 0.407229 1.01039e-31 0.396066 inf 1.4159
20.8602 1.06364 19.8661 18.6513 0.407229 1.0104e-31 0.396067 inf 1.2383
20.9858 1.12647 19.9592 18.789 0.407229 1.01039e-31 0.396065 inf 1.06071
21.1115 1.18273 20.0448 18.9342 0.407229 1.0104e-31 0.396067 inf 0.883102
21.2372 1.23066 20.1238 19.086 0.407229 1.01039e-31 0.396066 inf 0.705506
21.3628 1.26874 20.1974 19.2431 0.407229 1.0104e-31 0.396067 inf 0.527907
21.4885 1.29578 20.2668 19.4044 0.407228 1.01039e-31 0.396065 inf 0.350312
21.6142 1.31093 20.3337 19.5684 0.40723 1.01041e-31 0.396068 inf 0.17271
21.7398 1.3137 20.3994 19.7334 0.407228 1.01039e-31 0.396065 inf 6.2783
21.8655 1.30403 20.4655 19.8981 0.407228 1.01039e-31 0.396065 inf 6.1007
