z y Bx By Bz
-1.64557 1.64557 0 1 0.928247
-1.64557 1.6962 0 1 0.934933
-1.64557 1.74684 0 1 0.941014
-1.64557 1.79747 0 1 0.946543
-1.64557 1.8481 0 1 0.951567
-1.64557 1.89873 0 1 0.956129
-1.64557 1.94937 0 1 0.96027
-1.64557 2 0 1 0.964028
-1.59494 -2 0 1 -0.964028
-1.59494 -1.94937 0 1 -0.96027
-1.59494 -1.89873 0 1 -0.956129
-1.59494 -1.8481 0 1 -0.951567
-1.59494 -1.79747 0 1 -0.946543
-1.59494 -1.74684 0 1 -0.941014
-1.59494 -1.6962 0 1 -0.934933
-1.59494 -1.64557 0 1 -0.928247
-1.59494 -1.59494 0 1 -0.920903
-1.59494 -1.5443 0 1 -0.912841
-1.59494 -1.49367 0 1 -0.903998
-1.59494 -1.44304 0 1 -0.894308
-1.59494 -1.39241 0 1 -0.883699
-1.59494 -1.34177 0 1 -0.872097
-1.59494 -1.29114 0 1 -0.859425
-1.59494 -1.24051 0 1 -0.8456
-1.59494 -1.18987 0 1 -0.83054
-1.59494 -1.13924 0 1 -0.814158
-1.59494 -1.08861 0 1 -0.796369
-1.59494 -1.03797 0 1 -0.777087
-1.59494 -0.987342 0 1 -0.756227
-1.59494 -0.936709 0 1 -0.733706
-1.59494 -0.886076 0 1 -0.70945
-1.59494 -0.835443 0 1 -0.683388
-1.59494 -0.78481 0 1 -0.655459
-1.59494 -0.734177 0 1 -0.625614
-1.59494 -0.683544 0 1 -0.593819
-1.59494 -0.632911 0 1 -0.560054
-1.59494 -0.582278 0 1 -0.52432
-1.59494 -0.531646 0 1 -0.486638
-1.59494 -0.481013 0 1 -0.447054
-1.59494 -0.43038 0 1 -0.405639
-1.59494 -0.379747 0 1 -0.362488
-1.59494 -0.329114 0 1 -0.317724
