it time x y z u v w Bx By Bz
296 18.5982 0.792372 17.2626 17.1009 -0.538723 1.02665 0.80979 0 1 1
298 18.7239 0.727897 17.3978 17.1964 -0.503158 1.09225 0.744197 0 1 1
300 18.8496 0.669393 17.5408 17.2842 -0.451764 1.15236 0.684079 0 1 1
302 18.9752 0.618702 17.6906 17.3652 -0.386159 1.20512 0.631326 0 1 1
304 19.1009 0.577417 17.8462 17.4403 -0.308406 1.24884 0.587599 0 1 1
306 19.2265 0.546838 18.0064 17.5109 -0.220951 1.28217 0.554273 0 1 1
308 19.3522 0.527927 18.1697 17.5784 -0.126545 1.30405 0.532396 0 1 1
310 19.4779 0.521278 18.3346 17.6443 -0.0281586 1.31379 0.522656 0 1 1
312 19.6035 0.527101 18.4995 17.7101 0.0711139 1.31108 0.525361 0 1 1
314 19.7292 0.545213 18.6629 17.7775 0.168149 1.29602 0.540424 0 1 1
316 19.8549 0.575043 18.8234 17.8478 0.259895 1.26907 0.567372 0 1 1
318 19.9805 0.615654 18.9793 17.9226 0.343465 1.23109 0.605357 0 1 1
320 20.1062 0.665767 19.1296 18.0031 0.41623 1.18326 0.653184 0 1 1
322 20.2319 0.723807 19.2731 18.0905 0.475901 1.12709 0.70935 0 1 1
324 20.3575 0.787947 19.4088 18.1855 0.520601 1.06436 0.772085 0 1 1
326 20.4832 0.85617 19.5363 18.2888 0.548924 0.997025 0.839419 0 1 1
328 20.6088 0.92633 19.655 18.4009 0.559978 0.927213 0.909231 0 1 1
330 20.7345 0.996218 19.7649 18.5217 0.553416 0.857118 0.979326 0 1 1
332 20.8602 1.06364 19.8661 18.6513 0.529445 0.788945 1.0475 0 1 1
334 20.9858 1.12647 19.9592 18.789 0.488818 0.724839 1.1116 0 1 1
336 21.1115 1.18273 20.0448 18.9342 0.432814 0.666817 1.16963 0 1 1
338 21.2372 1.23066 20.1238 19.086 0.363194 0.616703 1.21974 0 1 1
340 21.3628 1.26874 20.1974 19.2431 0.282149 0.576075 1.26037 0 1 1
342 21.4885 1.29578 20.2668 19.4044 0.192228 0.54621 1.29023 0 1 1
344 21.6142 1.31093 20.3337 19.5684 0.0962592 0.528048 1.3084 0 1 1
346 21.7398 1.3137 20.3994 19.7334 -0.00273745 0.52216 1.31428 0 1 1
348 21.8655 1.30403 20.4655 19.8981 -0.101648 0.528732 1.30771 0 1 1
350 21.9911 1.28219 20.5336 20.0607 -0.197361 0.547556 1.28889 0 1 1
352 22.1168 1.2489 20.6052 20.2199 -0.286865 0.578041 1.2584 0 1 1
354 22.2425 1.20518 20.6817 20.3742 -0.367345 0.619228 1.21722 0 1 1
356 22.3681 1.15242 20.7642 20.5225 -0.436269 0.66982 1.16662 0 1 1
358 22.4938 1.09228 20.8538 20.6636 -0.491468 0.728227 1.10822 0 1 1
360 22.6195 1.02665 20.9513 20.7969 -0.531207 0.792611 1.04383 0 1 1
362 22.7451 0.957593 21.0574 20.9216 -0.554235 0.860946 0.975498 0 1 1
364 22.8708 0.88728 21.1722 21.0376 -0.559827 0.931083 0.905361 0 1 1
366 22.9965 0.817925 21.2958 21.1448 -0.547808 1.00082 0.835628 0 1 1
368 23.1221 0.75171 21.4279 21.2435 -0.518556 1.06795 0.768494 0 1 1
370 23.2478 0.690718 21.568 21.3341 -0.472991 1.13037 0.70607 0 1 1
372 23.3734 0.636866 21.7154 21.4175 -0.412546 1.18612 0.65032 0 1 1
374 23.4991 0.591851 21.8689 21.4947 -0.339124 1.23345 0.602998 0 1 1
376 23.6248 0.557087 22.0276 21.5669 -0.255033 1.27085 0.565592 0 1 1
378 23.7504 0.533668 22.1898 21.6354 -0.162919 1.29716 0.53928 0 1 1
380 23.8761 0.522331 22.3543 21.7017 -0.06568 1.31156 0.524888 0 1 1
382 24.0018 0.523433 22.5194 21.7674 0.0336252 1.31357 0.52287 0 1 1
384 24.1274 0.536939 22.6836 21.834 0.131873 1.30315 0.533289 0 1 1
386 24.2531 0.562423 22.8453 21.903 0.225972 1.28063 0.555818 0 1 1
