it time x y z u v w Bx By Bz
234 7.02e-09 2.6647e-07 0.100007 8.67114e-07 9823.95 829.922 1673.69 0 1 0.0996749
236 7.08e-09 6.70545e-08 0.100007 9.40747e-07 -316.054 0.495055 9995 0 1 0.0996749
238 7.14e-09 -2.5912e-08 0.100007 7.58487e-07 -9904.64 892.102 1049.85 0 1 0.099675
240 7.2e-09 1.49767e-07 0.100007 6.48618e-07 -2212.79 1949.17 -9555.33 0 1 0.0996751
242 7.26e-09 2.87588e-07 0.100007 8.13123e-07 9339.68 1327.45 -3317.87 0 1 0.0996751
244 7.32e-09 1.47097e-07 0.100007 9.75292e-07 4597.38 111.646 8879.84 0 1 0.0996752
246 7.38e-09 -2.65938e-08 0.100007 8.62489e-07 -8165.88 422.945 5756.69 0 1 0.0996752
248 7.44e-09 6.95506e-08 0.100007 6.81817e-07 -6682.28 1718.24 -7238.42 0 1 0.0996753
250 7.5e-09 2.67789e-07 0.100007 7.58789e-07 6459.77 1737.65 -7433.17 0 1 0.0996754
252 7.56e-09 2.22258e-07 0.100007 9.69411e-07 8331.59 447.311 5512.22 0 1 0.0996754
254 7.62e-09 1.23954e-08 0.100008 9.56513e-07 -4332.56 98.4512 9012.17 0 1 0.0996754
256 7.68e-09 4.34387e-09 0.100008 7.52896e-07 -9437.77 1299.72 -3039.61 0 1 0.0996755
258 7.74e-09 2.12151e-07 0.100008 7.24105e-07 1922.92 1955.28 -9616.61 0 1 0.0996756
260 7.8e-09 2.7326e-07 0.100008 9.30669e-07 9928.73 921.394 755.942 0 1 0.0996756
262 7.86e-09 8.10547e-08 0.100008 1.0225e-06 612.076 1.85469 9981.25 0 1 0.0996757
264 7.92e-09 -2.91275e-08 0.100008 8.49676e-07 -9772.45 800.97 1964.09 0 1 0.0996758
266 7.98e-09 1.34946e-07 0.100008 7.24021e-07 -3107.17 1924.54 -9308.15 0 1 0.0996758
268 8.04e-09 2.87019e-07 0.100008 8.75058e-07 8979.13 1412.29 -4169.01 0 1 0.0996759
270 8.1e-09 1.61773e-07 0.100008 1.04957e-06 5399.71 157.933 8415.35 0 1 0.0996759
272 8.16e-09 -2.22781e-08 0.100008 9.53392e-07 -7600.48 349.92 6489.24 0 1 0.099676
